    1135.292310    2.55740e-15    2.53022e-15    2.24978e-14
    1135.302280    4.32496e-15    2.93199e-15    2.24937e-14
    1135.312240    2.55039e-15    2.52924e-15    2.24897e-14
    1135.322210    4.33455e-15    2.93086e-15    2.24856e-14
    1135.332170    1.65880e-15    2.28566e-15    2.24816e-14
    1135.342130    1.65922e-15    2.28522e-15    2.24776e-14
    1135.352100    2.54933e-15    2.52729e-15    2.24735e-14
    1135.362060    1.66145e-15    2.28434e-15    2.24695e-14
    1135.372030    3.44171e-15    2.73843e-15    2.24655e-14
    1135.381990    1.66386e-15    2.28346e-15    2.24615e-14
    1135.391950    1.66586e-15    2.28302e-15    2.24575e-14
    1135.401920    3.44112e-15    2.73684e-15    2.24535e-14
    1135.411880   -1.02988e-16    1.59265e-15    2.24495e-14
    1135.421850    7.81964e-16    1.98935e-15    2.24455e-14
    1135.431810    5.21806e-15    3.09933e-15    2.24415e-14
    1135.441780    3.44756e-15    2.73474e-15    2.24376e-14
    1135.451740    2.55970e-15    2.52242e-15    2.24336e-14
    1135.461700    7.89362e-16    1.98782e-15    2.24296e-14
    1135.471670    2.55994e-15    2.52145e-15    2.24257e-14
    1135.481630    7.90305e-16    1.98705e-15    2.24217e-14
    1135.491600    3.45360e-15    2.73210e-15    2.24178e-14
    1135.501560    4.33082e-15    2.92071e-15    2.24138e-14
    1135.511520    6.09942e-15    3.25516e-15    2.24099e-14
    1135.521490    3.44550e-15    2.73053e-15    2.24059e-14
    1135.531450    5.21558e-15    3.09337e-15    2.24020e-14
    1135.541420    3.44699e-15    2.72948e-15    2.23981e-14
    1135.551380    5.21474e-15    3.09218e-15    2.23942e-14
    1135.561340    9.62903e-15    3.81272e-15    2.23903e-14
    1135.571310    7.86606e-15    3.54463e-15    2.23863e-14
    1135.581270    1.14057e-14    4.05269e-15    2.23824e-14
    1135.591240    7.85072e-15    3.54327e-15    2.23785e-14
    1135.601200    1.49229e-14    4.48211e-15    2.23746e-14
    1135.611160    1.75708e-14    4.78287e-15    2.23708e-14
    1135.621130    1.75718e-14    4.78195e-15    2.23669e-14
    1135.631090    1.58086e-14    4.58290e-15    2.23630e-14
    1135.641060    1.40264e-14    4.37531e-15    2.23591e-14
    1135.651020    1.04979e-14    3.92669e-15    2.23552e-14
    1135.660990    1.49103e-14    4.47695e-15    2.23514e-14
    1135.670950    1.40173e-14    4.37279e-15    2.23475e-14
    1135.680910    2.19550e-14    5.30143e-15    2.23437e-14
    1135.690880    2.10674e-14    5.13692e-15    2.23398e-14
    1135.700840    2.01735e-14    5.04991e-15    2.23360e-14
    1135.710810    1.66550e-14    4.67909e-15    2.23321e-14
    1135.720770    2.01617e-14    5.04797e-15    2.23283e-14
    1135.730730    2.27964e-14    5.38233e-15    2.23244e-14
    1135.740700    2.80723e-14    4.91242e-15    2.23206e-14
    1135.750660    2.36632e-14    5.45762e-15    2.23168e-14
    1135.760630    1.83757e-14    4.86365e-15    2.23130e-14
    1135.770590    1.74903e-14    4.76822e-15    2.23092e-14
    1135.780550    2.18826e-14    5.21397e-15    2.23053e-14
    1135.790520    2.53815e-14    5.61661e-15    2.23015e-14
    1135.800480    1.74688e-14    4.76548e-15    2.22977e-14
    1135.810450    2.01126e-14    5.03928e-15    2.22939e-14
    1135.820410    2.27423e-14    5.28723e-15    2.22902e-14
    1135.830380    2.62470e-14    4.74594e-15    2.22864e-14
    1135.840340    2.62426e-14    4.74509e-15    2.22826e-14
    1135.850300    2.18383e-14    5.20699e-15    2.22788e-14
    1135.860270    1.30660e-14    4.25399e-15    2.22750e-14
    1135.870230    1.92026e-14    4.93918e-15    2.22713e-14
    1135.880200    1.74457e-14    4.75819e-15    2.22675e-14
    1135.890160    2.44593e-14    5.52872e-15    2.22637e-14
    1135.900120    2.18212e-14    5.20199e-15    2.22600e-14
    1135.910090    1.39240e-14    4.35272e-15    2.22562e-14
    1135.920050    1.91769e-14    4.93441e-15    2.22525e-14
    1135.930020    1.65350e-14    4.65938e-15    2.22487e-14
    1135.939980    1.74148e-14    4.75267e-15    2.22450e-14
    1135.949940    2.09067e-14    5.11135e-15    2.22413e-14
    1135.959910    2.35339e-14    5.35860e-15    2.22376e-14
    1135.969870    1.56495e-14    4.55308e-15    2.22338e-14
    1135.979840    2.35369e-14    5.43353e-15    2.22301e-14
    1135.989800    2.17779e-14    5.19293e-15    2.22264e-14
    1135.999770    1.65225e-14    4.65304e-15    2.22227e-14
    1136.009730    1.56514e-14    4.54951e-15    2.22190e-14
    1136.019690    2.26334e-14    5.26682e-15    2.22153e-14
    1136.029660    1.38890e-14    4.34257e-15    2.22116e-14
    1136.039620    1.30109e-14    4.23915e-15    2.22079e-14
    1136.049590    2.08863e-14    5.10137e-15    2.22042e-14
    1136.059550    2.17533e-14    5.18580e-15    2.22005e-14
    1136.069510    2.26224e-14    5.26166e-15    2.21968e-14
    1136.079480    1.82525e-14    4.83363e-15    2.21932e-14
    1136.089440    2.60990e-14    4.72061e-15    2.21895e-14
    1136.099410    2.08512e-14    5.09638e-15    2.21858e-14
    1136.109370    2.34725e-14    5.41971e-15    2.21822e-14
    1136.119330    2.87226e-14    4.95075e-15    2.21785e-14
    1136.129300    2.26010e-14    5.25549e-15    2.21748e-14
    1136.139260    2.17164e-14    5.17769e-15    2.21712e-14
    1136.149230    2.25756e-14    5.25343e-15    2.21676e-14
    1136.159190    3.12914e-14    5.16537e-15    2.21639e-14
    1136.169160    2.86731e-14    4.94406e-15    2.21603e-14
    1136.179120    2.34309e-14    5.33558e-15    2.21566e-14
